Date,Open,High,Low,Close,Adj Close,Volume
2021-11-18,368.8500061035156,370.6666564941406,358.3399963378906,365.4599914550781,365.4599914550781,62696700
2021-11-19,366.2900085449219,379.5733337402344,364.23333740234375,379.0199890136719,379.0199890136719,64926900
2021-11-22,387.4433288574219,400.6499938964844,377.4766540527344,385.6233215332031,385.6233215332031,99217500
2021-11-23,389.1700134277344,393.5,354.2333374023437,369.6766662597656,369.6766662597656,108515100
2021-11-24,360.1300048828125,377.5899963378906,354.0,372.0,372.0,67680600
2021-11-26,366.489990234375,369.5933227539063,360.3333435058594,360.6400146484375,360.6400146484375,35042700
2021-11-29,366.9966735839844,380.8900146484375,366.7300109863281,378.9966735839844,378.9966735839844,58393500
2021-11-30,381.4566650390625,389.3333435058594,372.6666564941406,381.586669921875,381.586669921875,81276000
2021-12-01,386.8999938964844,390.9466552734375,363.586669921875,365.0,365.0,68450400
2021-12-02,366.3533325195313,371.0,352.2166748046875,361.5333251953125,361.5333251953125,73114800
2021-12-03,361.5966796875,363.5266723632813,333.4033203125,338.3233337402344,338.3233337402344,92322000
2021-12-06,333.836669921875,340.5466613769531,316.8333435058594,336.336669921875,336.336669921875,81663000
2021-12-07,348.0666809082031,352.5566711425781,342.2699890136719,350.5833435058594,350.5833435058594,56084700
2021-12-08,350.9033203125,357.4599914550781,344.3333435058594,356.32000732421875,356.32000732421875,41906400
2021-12-09,353.5466613769531,354.163330078125,334.1199951171875,334.6000061035156,334.6000061035156,59438400
2021-12-10,336.25,340.32666015625,327.510009765625,339.010009765625,339.010009765625,59664300
2021-12-13,333.6966552734375,335.0,317.1400146484375,322.1366577148437,322.1366577148437,78595500
2021-12-14,315.0,322.1366577148437,310.0,319.5033264160156,319.5033264160156,70806300
2021-12-15,317.7366638183594,326.25,309.4166564941406,325.3299865722656,325.3299865722656,75169200
2021-12-16,331.5,331.6600036621094,307.2833251953125,308.97332763671875,308.97332763671875,82771500
2021-12-17,304.92333984375,320.2200012207031,303.0133361816406,310.8566589355469,310.8566589355469,100437300
2021-12-20,303.5666809082031,307.2300109863281,297.7966613769531,299.9800109863281,299.9800109863281,56480100
2021-12-21,305.6233215332031,313.1666564941406,295.3733215332031,312.84332275390625,312.84332275390625,71517900
2021-12-22,321.8866577148437,338.5533447265625,319.01666259765625,336.2900085449219,336.2900085449219,93634200
2021-12-23,335.6000061035156,357.6600036621094,332.5199890136719,355.6666564941406,355.6666564941406,92713200
2021-12-27,357.8900146484375,372.3333435058594,356.9066772460937,364.6466674804688,364.6466674804688,71145900
2021-12-28,369.8299865722656,373.0,359.47332763671875,362.8233337402344,362.8233337402344,60324000
2021-12-29,366.21331787109375,368.0,354.7133178710937,362.0633239746094,362.0633239746094,56154000
2021-12-30,353.77667236328125,365.1833190917969,351.04998779296875,356.7799987792969,356.7799987792969,47040900
2021-12-31,357.8133239746094,360.6666564941406,351.5299987792969,352.260009765625,352.260009765625,40733700
